,username,tweet,tweetP
271,peachyrose__,"@sellkpopdata Candy lab pc,80k each.take all bole negoDom jateng https://t.co/EkO1QQ84kk",Candy lab pc 80k each take all bole negoDom jateng
272,icedipped,it’s 3 in the morning and idk why im up thinking about a candy apple.. 😭,it s 3 in the morning and idk why im up thinking about a candy apple
273,IconicHyeKyo,Romance isn't always cotton candy - The Swoon Netflix #ThatWinterTheWindBlows#SongHyeKyo #JoInSung 🥰Watch this SBS drama that gave Kyo her first Daesang for dramas at NETFLIX 😍 https://t.co/ISimYNxlve,Romance isn t always cotton candy The Swoon Netflix ThatWinterTheWindBlows SongHyeKyo JoInSung Watch this SBS drama that gave Kyo her first Daesang for dramas at NETFLIX
274,ivytkoo,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
275,ArtificialAtlas,@Candy__Spice Thank you 😊🙏,Spice Thank you
276,rainvvie,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
277,Hanya_Candy,$100 GIVEAWAY ~ 24 HOURS ⏳️ - RT &amp; Follow @gemhostofficial (🔔),100 GIVEAWAY 24 HOURS RT amp Follow
278,paramourgguk,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
279,Candy_cherriez,In the mood to go shake my ass at the club 🥺,In the mood to go shake my ass at the club
280,minsugaaloml,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
281,luC_candy,@PreetieJules Very much! Enjoy it 🥰,Very much Enjoy it
282,kimjuncottonOT9,@baekhyunn_candy i think the exos are forgetting love shot exists too,candy i think the exos are forgetting love shot exists too
283,sugameows,baby star candy ever since 🌟 https://t.co/Xde29wuZnE,baby star candy ever since
284,miIfmanipulator,living out crying in h mart by jbrekkie rn but instead of h mart its my bedroom full of candy from seafood city,living out crying in h mart by jbrekkie rn but instead of h mart its my bedroom full of candy from seafood city
285,artgaleos,@NNNR65 I bet he'd taste like a blueberry Icee mixed with cotton candy,I bet he d taste like a blueberry Icee mixed with cotton candy
286,minimonimisser7,"#FBSPHGO #TWICE[Pre-order] [Restock]▪TWICE CANDY BONG Z - PHP 2550ORDER FORM: https://t.co/HVwUvRhano 💸 Pay half of the price as you order💸 Balance: December 30, 2021 💯 Official from Korea and Sealed💯 with freebies from our shop📌Normal ETA https://t.co/dDQO0ZQz2a",FBSPHGO TWICE Pre order Restock TWICE CANDY BONG Z PHP 2550ORDER FORM Pay half of the price as you order Balance December 30 2021 Official from Korea and Sealed with freebies from our shop Normal ETA
287,JimmerThatisAll,A stranger tried to lure me into a space. They don't even have the decency to have a white van &amp; candy anymore.,A stranger tried to lure me into a space They don t even have the decency to have a white van amp candy anymore
288,kerengordon26,forbidden beach candy https://t.co/JqHwV9VPM5,forbidden beach candy
289,luC_candy,Pregnancy privilege is a thing!😍❤,Pregnancy privilege is a thing
290,doeykoo,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
291,Hanya_Candy,"Crypto Car Society (@ccsNFT) is going to be the next blue chip NFT! 💎👀🔹7,777 Unique 2D Cars!🔸500+ Hand-drawn features!🔹Low Supply, HQ Art, Community Driven!🔹Expecting AT LEAST a 5X after Mint!Follow &amp; Join the Society! 🚀@ccsNFT - https://t.co/5Ymwl71SnY https://t.co/71U7xa1nyP",Crypto Car Society is going to be the next blue chip NFT 7 777 Unique 2D Cars 500 Hand drawn features Low Supply HQ Art Community Driven Expecting AT LEAST a 5X after Mint Follow amp Join the Society
292,kvhrtsluv,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
293,red_candy_1004,"""#ATINY! With """"The Real"""" dropping as a new title track",ATINY With The Real dropping as a new title track
294,jekeyuwu_,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
295,TheBookofGinko,"No matter how long you dig through your kid’s candy stash, it doesn’t make any more Twix appear.",No matter how long you dig through your kid s candy stash it doesn t make any more Twix appear
296,koojeons,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
297,taeVBear7,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
298,vxuztn,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
299,UGHTAEK00,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
